Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Don Miguel;29400;Calle Rosario;Ronda;;36.7411544;-5.1659613;Serranía de Ronda;España;No especificado;No disponible;Don Miguel, Calle Rosario, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
Jerez;29400;Plaza Teniente Arce;Ronda;;36.7419633;-5.1666393;Serranía de Ronda;España;No especificado;No disponible;Jerez, Plaza Teniente Arce, Ronda, Serranía de Ronda, Málaga, Andalucía, 29400, España
El Palangre;29680;Calle Faro;Estepona;Ronda del Mar;36.41924;-5.15383;Costa del Sol Occidental;España;No especificado;No disponible;El Palangre, Calle Faro, Balcones del Mar, Ronda del Mar, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29680, España
Bar Stop;29320;Carretera de Antequera;Campillos;;37.0518136;-4.8595603;Guadalteba;España;No especificado;No disponible;Bar Stop, Carretera de Antequera, Campillos, Guadalteba, Málaga, Andalucía, 29320, España
La Vela Azul;29688;Calle Dunas de Casasola;Estepona;El Presidente;36.462082;-5.0179051;Costa del Sol Occidental;España;No especificado;No disponible;La Vela Azul, Calle Dunas de Casasola, Hacienda del Sol II, El Presidente, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29688, España
Cafeteria Bayleys;29751;Calle Conjunto Colonia del Puerto 1;Vélez-Málaga;Caleta 2000;36.7495062;-4.0644703;La Axarquía;España;No especificado;No disponible;Cafeteria Bayleys, Calle Conjunto Colonia del Puerto 1, Caleta del Sol, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Restaurante Puerto Blanco;29751;Calle Puerto Caleta;Vélez-Málaga;Caleta 2000;36.7491627;-4.0729297;La Axarquía;España;No especificado;No disponible;Restaurante Puerto Blanco, Calle Puerto Caleta, Urbanización Villa del Mar, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Restaurante Eclipse;29751;Paseo Marítimo;Vélez-Málaga;Caleta 2000;36.7491515;-4.0731042;La Axarquía;España;No especificado;No disponible;Restaurante Eclipse, Paseo Marítimo, Urbanización Villa del Mar, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Funky Forest;29688;Avenida Benamara;Estepona;Paraíso-Barronal;36.4651227;-5.0295835;Costa del Sol Occidental;España;No especificado;No disponible;Funky Forest, Avenida Benamara, Benamara Gardens, Paraíso-Barronal, Bel-Air, Estepona, Costa del Sol Occidental, Málaga, Andalucía, 29688, España
Bar Virutas;29751;Calle Conjunto Colonia del Puerto 1;Vélez-Málaga;Caleta 2000;36.7497325;-4.0671218;La Axarquía;España;No especificado;No disponible;Bar Virutas, Calle Conjunto Colonia del Puerto 1, Caleta del Sol, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Bar La Prisa;29751;Calle Conjunto Colonia del Puerto 5;Vélez-Málaga;Caleta 2000;36.7497913;-4.0673107;La Axarquía;España;No especificado;No disponible;Bar La Prisa, Calle Conjunto Colonia del Puerto 5, Caleta del Sol, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Bar Los Poetas;29751;Calle Conjunto Colonia del Puerto 1;Vélez-Málaga;Caleta 2000;36.7496721;-4.0668339;La Axarquía;España;No especificado;No disponible;Bar Los Poetas, Calle Conjunto Colonia del Puerto 1, Caleta del Sol, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Restaurante Manolo;29751;Calle Conjunto Colonia del Puerto 5;Vélez-Málaga;Caleta 2000;36.7499431;-4.0672349;La Axarquía;España;No especificado;No disponible;Restaurante Manolo, Calle Conjunto Colonia del Puerto 5, Caleta del Sol, Caleta 2000, Caleta de Vélez, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29751, España
Bar Las Tablas;29740;Calle Levante;Vélez-Málaga;Caleta 2000;36.7409563;-4.0919858;La Axarquía;España;No especificado;No disponible;Bar Las Tablas, Calle Levante, Pueblo Rocío, Caleta 2000, Torre del Mar, Vélez-Málaga, La Axarquía, Málaga, Andalucía, 29740, España
La Bodega;;;Vélez-Málaga;La Bodega;36.7183234;-4.1960626;La Axarquía;España;No especificado;No disponible;La Bodega, Benajarafe, Vélez-Málaga, La Axarquía, Málaga, Andalucía, España
Arrocería Varadero;29760;Paseo Marítimo de los Pescadores;Algarrobo-Costa;;36.7448063;-4.0450478;La Axarquía;España;No especificado;No disponible;Arrocería Varadero, Paseo Marítimo de los Pescadores, Camarillas, Algarrobo-Costa, Algarrobo, La Axarquía, Málaga, Andalucía, 29760, España
