,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN TOTAL,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Padrón municipal,  Ayuntamiento de Málaga",,,,,,,,,,,,,,,,,,,,,
,, TOTAL,Hombres,Mujeres,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,"42,0911","52,1634","52,6237","42,0054","46,4845","47,0617","58,4178","47,6094","46,0705","47,1578","46,4539","41,3863","55,1637","42,5301","45,8965","53,6355","51,2827","47,5561","50,0624","48,4850"
,2001,"41,3754","51,8979","52,6669","40,7297","46,4747","47,1938","57,3787","46,8776","45,7062","47,1356","45,2203","40,7881","53,7313","41,7203","45,3892","53,1688","49,8210","47,0410","49,3314","48,1307"
,2002,"41,4951","52,6504","52,3739","41,3694","45,8399","45,8864","59,5626","46,5676","44,9853","47,1371","44,5466","40,6385","54,6798","41,8419","44,8328","54,0673","47,4198","46,5668","48,9312","47,8330"
,2003,"42,2149","52,8709","51,3293","41,3841","46,1926","46,5139","59,5466","46,6566","44,9811","48,0833","47,6282","41,8148","55,2239","41,9376","44,9595","54,9568","49,1114","46,6590","48,6930","47,5908"
,2004,"42,6957","51,4420","51,1934","42,4586","45,2742","47,5000","57,4101","45,4651","44,6284","47,7641","47,3067","41,8783","52,2422","41,2034","44,6359","53,6013","48,8467","46,1496","48,1999","47,3036"
,2005,"42,1257","51,0232","50,6988","41,5391","44,4194","47,2727","54,9741","44,5890","44,4951","47,3480","46,8416","41,8451","47,7801","40,7846","44,3227","52,1099","47,5429","45,5843","47,4798","46,7490"
,2006,"42,0643","50,1782","49,7220","42,1731","43,7043","47,2210","52,4324","44,6792","44,9213","47,6161","45,6376","41,8498","48,2180","40,7232","44,5548","51,2832","47,9128","45,6179","47,4218","47,0719"
,2007,"42,0286","49,7971","48,2925","41,7169","43,6567","46,5724","50,3407","44,6247","44,7270","48,1768","45,3944","42,3890","47,5891","41,6466","44,4346","51,1815","47,6999","45,5994","47,1663","47,0364"
,2008,"42,7775","49,2337","48,6226","42,7223","43,7535","46,8815","52,3109","45,2272","44,7740","48,6201","45,1678","42,6898","45,6740","41,6061","44,5264","50,6447","47,0600","45,7229","46,9599","46,9483"
,2009,"44,0456","49,3563","48,5655","43,1901","43,5992","45,2745","53,3672","47,2580","45,6210","48,8481","45,3989","43,3667","45,2716","41,8466","45,2251","50,5733","48,3346","46,4245","47,3641","47,4773"
,2010,"44,6822","50,3939","48,3792","44,0172","44,2991","46,3756","51,6063","48,9088","46,3003","49,6913","45,9653","44,0032","44,7937","42,8233","46,2774","51,2573","47,9914","47,2446","47,7866","48,2469"
,2011,"45,7598","50,4962","49,2047","44,7622","44,9848","46,0652","52,4699","49,9433","47,3233","50,5680","45,8653","44,9635","44,0901","43,5571","47,2060","51,3510","48,1217","48,0761","48,2966","49,1007"
,2012,"46,1250","50,7829","50,1969","45,5635","46,3179","46,1538","53,9507","51,0330","48,1525","51,5315","45,8766","45,5316","43,1862","45,2697","48,0897","50,9746","49,3046","48,8273","48,7025","49,8151"
,2013,"46,6597","51,1595","52,1723","46,7815","47,1799","48,7169","54,2402","52,5665","49,0596","52,8735","47,3768","46,2789","44,3137","46,6037","49,1119","52,0629","52,3526","49,7158","49,3467","50,6560"
,2014,"47,5745","52,4655","51,9844","47,2449","48,2601","51,2976","56,6742","53,4273","49,9825","50,2782","48,9317","47,3473","44,6000","47,2905","49,7206","53,1580","52,9884","50,1234","49,9296","51,5847"
