,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2004,10.517,16.374,26.891,,,,,,,,,,,,,,,,,
,2005,15.585,21.645,37.230,,,,,,,,,,,,,,,,,
,2006,14.731,22.748,37.479,,,,,,,,,,,,,,,,,
,2007,16.551,23.948,40.499,,,,,,,,,,,,,,,,,
,2008,26.480,28.218,54.698,,,,,,,,,,,,,,,,,
,2009,33.438,33.577,67.015,,,,,,,,,,,,,,,,,
,2010,35.214,35.752,70.966,,,,,,,,,,,,,,,,,
,2011,36.796,38.268,75.064,,,,,,,,,,,,,,,,,
,2012,39.825,43.175,83.000,,,,,,,,,,,,,,,,,
,2013,38.456,42.015,80.471,,,,,,,,,,,,,,,,,
,2014,36.249,41.210,77.459,,,,,,,,,,,,,,,,,
,2015,32.664,38.886,71.550,,,,,,,,,,,,,,,,,
,2016,29.249,37.027,66.276,,,,,,,,,,,,,,,,,
,2017,26.492,35.217,61.709,,,,,,,,,,,,,,,,,
,2018,24.993,34.865,59.858,,,,,,,,,,,,,,,,,
,2019,23.697,33.835,57.532,,,,,,,,,,,,,,,,,
,2020,31.728,41.876,73.604,,,,,,,,,,,,,,,,,
,2021,24.062,34.044,58.106,,,,,,,,,,,,,,,,,
,2022,21.772,31.783,53.555,,,,,,,,,,,,,,,,,
,2023,20.743,30.516,51.259,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN ACTIVA EN LAS CAPITALES DE PROVINCIA DE ANDALUCIA                                                                                            ,,,,,,,,,,,,,,,,,,,,,
(Miles de personas)                                                                                                                            ,,,,,,,,,,,,,,,,,,,,,
"Fuente: Encuesta de Población Activa, INE",,,,,,,,,,,,,,,,,,,,,
,,Almería ,Cádiz,Córdoba, Granada,Huelva,Jaén,Málaga,Sevilla,Provincia de Málaga,Andalucía,España,,,,,,,,,
,1999,74,59,129,96,60,44,219,294,515,2.942,17.412,,,,,,,,,
,2000,74,61,126,92,65,46,208,304,518,3.012,18.002,,,,,,,,,
,2001,72,59,125,93,57,44,201,324,514,2.967,18.051,,,,,,,,,
,2002,72,57,131,106,63,48,209,345,563,3.166,18.961,,,,,,,,,
,2003,80,52,135,107,66,52,237,327,586,3.260,19.743,,,,,,,,,
,2004,80,54,151,101,64,52,241,330,613,3.361,20.376,,,,,,,,,
,2005,85,53,147,109,70,56,250,334,656,3.480,21.141,,,,,,,,,
,2006,95,51,158,103,70,56,271,336,681,3.592,21.780,,,,,,,,,
,2007,87,55,155,98,74,55,269,335,713,3.712,22.426,,,,,,,,,
,2008,83,55,160,111,77,58,272,347,737,3.842,23.066,,,,,,,,,
,2009,90,55,159,114,75,58,267,337,754,3.922,23.260,,,,,,,,,
